,Unnamed: 0,Price,Address,Bedrooms,Bathrooms,Sqft,ZipCode,State,City,Latitude,Longitude,County
369,369,75000.0,"3767 Fisher Way, West Valley City, UT 84119",2.0,2.0,1071.0,84119.0,UT,West Valley City,40.6906403,-111.9281104,Salt Lake County
370,370,580000.0,"6581 S 1670 E, Salt Lake City, UT 84121",3.0,3.0,2612.0,84121.0,UT,Salt Lake City,,,Salt Lake County
371,371,699900.0,"2157 W Sunrise Ranch Dr, Mapleton, UT 84664",3.0,2.5,3785.0,84664.0,UT,Mapleton,,,Utah County
372,372,579900.0,"643 S 1600 E, Pleasant Grove, UT 84062",4.0,3.0,3000.0,84062.0,UT,Pleasant Grove,40.359716,-111.7043361,Utah County
373,373,649900.0,"566 North 2580 West, Provo, UT 84601",5.0,2.0,3100.0,84601.0,UT,Provo,40.240458,-111.7042148,Utah County
374,374,799000.0,"3332 N 350 W, Lehi, UT 84043",4.0,3.0,4361.0,84043.0,UT,Lehi,40.430059,-111.8546569,Utah County
375,375,1247995.0,"4425 N Summer View Dr, Lehi, UT 84043",5.0,3.0,3858.0,84043.0,UT,Lehi,40.4424141,-111.871253,Utah County
376,376,1322995.0,"12307 S Boot Canyon Cove, Herriman, UT 840...",6.0,4.5,4319.0,,,,,,Unknown
377,377,1381995.0,"12236 S Boot Canyon Cove, Herriman, UT 840...",6.0,6.0,5770.0,,,,,,Unknown
378,378,518990.0,"6600 South Bacchus Highway Lot: Lot 0140,...",3.0,2.5,2156.0,,,,,,Unknown
379,379,332900.0,"1794 N Buckeye Way N304, Lot 304, Saratoga...",3.0,2.0,1272.0,,,,,,Unknown
380,380,474900.0,"2060 N 4040 West, Lot 426, Lehi, UT 84043",3.0,2.5,1559.0,84043.0,UT,Lehi,,,Utah County
381,381,410000.0,"415 North 360 West, Vineyard, UT 84059",3.0,2.0,1265.0,84059.0,UT,Vineyard,40.307095,-111.7622979,Utah County
382,382,369900.0,"13599 S Templar Drive Q302, Lot 302, Riverton,...",3.0,2.0,1272.0,,,,,,Unknown
383,383,,,,,,,,,34.220389,70.3800314,Unknown
384,384,650000.0,"942 S Cinnamon Ridge Dr, Lot 11, Provo, UT 84...",5.0,2.5,3340.0,,,,,,Unknown
385,385,1950000.0,"12825 South Fort Street, Draper, UT 84020",4.0,1.5,2926.0,84020.0,UT,Draper,,,Salt Lake County
386,386,599900.0,"4638 North Festival Way #201, Eagle Mountain, U...",4.0,2.5,3557.0,,,,,,Unknown
387,387,804900.0,"4927 W Evergreen Lane, Highland, UT 84003",2.0,2.0,1815.0,84003.0,UT,Highland,,,Utah County
388,388,842900.0,"4977 W Evergreen Lane, Highland, UT 84003",3.0,2.0,2532.0,84003.0,UT,Highland,,,Utah County
389,389,718500.0,"9872 N Holland Place, Highland, UT 84003",4.0,2.0,2291.0,84003.0,UT,Highland,,,Utah County
390,390,571000.0,"4413 W Bergen Lane, Lehi, UT 84043",3.0,3.0,2300.0,84043.0,UT,Lehi,,,Utah County
391,391,633000.0,"4437 W Bergen Lane, Lehi, UT 84043",3.0,2.0,2166.0,84043.0,UT,Lehi,,,Utah County
392,392,728100.0,"3789 W Lucerne Way, Lehi, UT 84043",4.0,2.0,2240.0,84043.0,UT,Lehi,,,Utah County
393,393,682300.0,"1917 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1882.0,,,,,,Unknown
394,394,705000.0,"1923 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1961.0,,,,,,Unknown
395,395,675300.0,"1919 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1857.0,,,,,,Unknown
396,396,683700.0,"1925 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1711.0,,,,,,Unknown
397,397,691300.0,"1927 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1857.0,,,,,,Unknown
398,398,736000.0,"1942 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1961.0,,,,,,Unknown
399,399,690000.0,"1948 N Anderson Pass Loop, Heber City, UT 84...",3.0,2.0,1857.0,,,,,,Unknown
400,400,723600.0,"962 S Old Farm Road, Heber City, UT 84032",4.0,2.0,2091.0,84032.0,UT,Heber City,,,Wasatch County
401,401,648400.0,"1427 N 3480 West, Provo, UT 84601",4.0,2.0,2091.0,84601.0,UT,Provo,,,Utah County
402,402,655200.0,"1447 N 3500 West, Provo, UT 84601",4.0,2.0,2283.0,84601.0,UT,Provo,40.2517072,-111.7205313,Utah County
403,403,760600.0,"1431 N 3500 West, Provo, UT 84601",3.0,2.0,2358.0,84601.0,UT,Provo,40.2517072,-111.7205313,Utah County
404,404,534900.0,"2316 E Boxwood Ln, Eagle Mountain, UT 840...",3.0,2.0,3393.0,,,,40.303239500000004,-111.99959912491663,Unknown
405,405,1285500.0,"564 S 1850 East, Heber City, UT 84032",3.0,2.0,2728.0,84032.0,UT,Heber City,,,Wasatch County
406,406,1548500.0,"1877 E 360 South, Heber City, UT 84032",7.0,6.0,5372.0,84032.0,UT,Heber City,,,Wasatch County
